"Table 7: Long-term international immigration, emigration and net migration of non-EU+ nationals by age group and sex,",,,,,,,,,,
using new approach to producing migration estimates [definition 4],,,,,,,,,,
This worksheet contains one table. ,,,,,,,,,,
Notes and definitions are referred to in this table. The text for these can be found in the corresponding worksheets.,,,,,,,,,,
"Some shorthand is used in these tables, P = provisional, YE = Year Ending.",,,,,,,,,,
"Period
[note 10]",Sex,Age band,Immigration,Emigration,"Net migration
[note 2]",,,,,
YE Dec 24 P,All,All," 	766,000 "," 	222,000 "," 	544,000 ",,,,,
YE Dec 24 P,All,Under 16," 	124,000 "," 	21,000 "," 	102,000 ",,,,,
YE Dec 24 P,All,16-24," 	246,000 "," 	57,000 "," 	189,000 ",,,,,
YE Dec 24 P,All,25-34," 	243,000 "," 	95,000 "," 	148,000 ",,,,,
YE Dec 24 P,All,35-44," 	99,000 "," 	33,000 "," 	66,000 ",,,,,
YE Dec 24 P,All,45-54," 	34,000 "," 	11,000 "," 	23,000 ",,,,,
YE Dec 24 P,All,55-64," 	12,000 "," 	3,000 "," 	9,000 ",,,,,
YE Dec 24 P,All,65+," 	8,000 "," 	2,000 "," 	6,000 ",,,,,
YE Dec 24 P,Male,All," 	401,000 "," 	113,000 "," 	289,000 ",,,,,
YE Dec 24 P,Male,Under 16," 	63,000 "," 	11,000 "," 	53,000 ",,,,,
YE Dec 24 P,Male,16-24," 	129,000 "," 	27,000 "," 	102,000 ",,,,,
YE Dec 24 P,Male,25-34," 	127,000 "," 	49,000 "," 	78,000 ",,,,,
YE Dec 24 P,Male,35-44," 	54,000 "," 	18,000 "," 	36,000 ",,,,,
YE Dec 24 P,Male,45-54," 	19,000 "," 	6,000 "," 	13,000 ",,,,,
YE Dec 24 P,Male,55-64," 	6,000 "," 	2,000 "," 	4,000 ",,,,,
YE Dec 24 P,Male,65+," 	3,000 "," 	1,000 "," 	2,000 ",,,,,
YE Dec 24 P,Female,All," 	364,000 "," 	109,000 "," 	255,000 ",,,,,
YE Dec 24 P,Female,Under 16," 	60,000 "," 	11,000 "," 	50,000 ",,,,,
YE Dec 24 P,Female,16-24," 	117,000 "," 	30,000 "," 	88,000 ",,,,,
YE Dec 24 P,Female,25-34," 	116,000 "," 	46,000 "," 	70,000 ",,,,,
YE Dec 24 P,Female,35-44," 	45,000 "," 	16,000 "," 	30,000 ",,,,,
YE Dec 24 P,Female,45-54," 	15,000 "," 	5,000 "," 	10,000 ",,,,,
YE Dec 24 P,Female,55-64," 	6,000 "," 	1,000 "," 	5,000 ",,,,,
YE Dec 24 P,Female,65+," 	5,000 "," 	1,000 "," 	4,000 ",,,,,
